Author
(Grace) Qing Hao
(Joy) Tianjiao Tong
(Stella) Min-Yu Liao
A Abdnor
A Azzalini
A Bodnaruk
A Boone
A Branthwaite
A Cameron
A Caspi
A Cañada
A Christie
A Christoforou
A Craig Burnside
A Danese
A Demirguckunt
A Dittmar
A Dyck
A Elizabeth Whalley
A F Williams
A Falk
A Fisher
A Gande
A Goyal
A Grinsted
A Gupta
A H A Robinson
A Harrison
A Hörmann
A J Gow
A J Lundervold
A K Lund
A Kalay
A Kamara
A Khorana
A Khwaja
A Kraus
A Kumar
A Lambert
A Lindhoff Larsson
A Loeb
A M Molla
A Marcus
A Mark Pollard
A McCloskey
A Mian
A Michael Lincoff
A Myrick Freeman
A N Shiryaev
A Ovtchinnikov
A Patel
A Payton
A Pickles
A Poteshman
A Ramamoorthy
A Reed
A S Elstein
A S Fotheringham
A Sembenelli
A Sherman
A Shleifer
A Starks Acosta
A Stefano Caria
A Steptoe
A Stouraitis
A Subrahmanyam
A Tenesa
A Tsiatis
A Welfare Analysis
A Zertiti
A Zezulka
A&W Revenue Royalties Income Fund
A. A. Berle
A. A. Cannella
A. A. Konus
A. A. Levchenko
A. A. Sheriff
A. A. Smith
A. A. Weiss
A. Abdulkadiroglu
A. Abel
A. Abigail Payne
A. Akhmedov
A. Albert
A. Alesina
A. Almazan
A. Anartati
A. Anderson
A. Ang
A. Anthony Bloom
A. Arifaj
A. Arnett
A. Ayala
A. B. Abel
A. B. Atkinson
A. B. Bernard
A. B. Carroll
A. B. Jaffe
A. B. Krueger
A. B. Treadway
A. Bailey
A. Baldaque da Silva
A. Banerjee
A. Banerji
A. Bardos
A. Barker
A. Barrionuevo
A. Bartel
A. Bazemore
A. Beesley
A. Belloni
A. Beltratti
A. Berger
A. Bernardo
A. Berndt
A. Beyer
A. Blinder
A. Boone
A. Boulatov
A. Brace
A. Bradford Hill
A. Brav
A. Bravo-Biosca
A. Briend
A. Brugiavini
A. Burak Güner
A. Buraschi
A. Butler
A. C. Harberger
A. C. Harvey
A. C. Martin
A. C. Miller
A. C. Pigou
A. C. Pritchard
A. Cabrales
A. Caggese
A. Caplin
A. Carlos
A. Case
A. Charoenrook
A. Chassany
A. Chinco
A. Ciccone
A. Citanna
A. Colin Cameron
A. Colter
A. Cooper Drury
A. Copeland
A. Corana
A. Corhay
A. Costinot
A. Countryman
A. Craig Burnside
A. Craig MacKinlay
A. Craig Mackinlay
A. Crego
A. Crews-Cutts
A. Crowell
A. Cutts
A. Câmara
A. D. Baddeley
A. D. Foster
A. D. Kirwan
A. D. Polyanin
A. D. Roy
A. Dar
A. Dasgupta
A. Daughety
A. David Redish
A. De Janvry
A. De Palma
A. De Souza
A. DeRosa
A. DeServigny
A. Deaton
A. Demirguc-Kunt
A. Denny Ellerman
A. Dey
A. Di Dio
A. Dittmar
A. Dixit
A. Doruk Gunaydin
A. Drif
A. Dube
A. Dunkin
A. Dunsby
A. Durnev
A. Dwayne Ball
A. Dyck
A. D’Andrea
A. E. Bernardo
A. E. D. Veraart
A. E. Kowalski
A. E. Kyprianou
A. E. Mosser
A. E. Roth
A. E. Sarhan
A. E. Whalley
A. E. van ‘t Veer
A. Edmans
A. Einstein
A. Eisfeldt
A. Ellison
A. Elsaify
A. Elstein
A. Enria
A. Epaulard
A. Estevadeordal
A. F. Ades
A. F. M. Smith
A. F. Shorrocks
A. F. Wessen
A. Falk
A. Fatas
A. Fernandez Suarez
A. Finkelstein
A. Finley
A. Fogli
A. Franceschini
A. Fujimoto
A. Fuster
A. G. Cohen
A. G. Ford
A. G. P.
A. G. Timmermann
A. Galichon
A. Galindo
A. Gallant
A. Galvan
A. Gamanga
A. Gandhi
A. Garcia-Ferrer
A. Gerber
A. Gibson
A. Gintschel
A. Gintschell
A. Gomes
A. Gosline
A. Gosling
A. Green
A. Greenspan
A. Greif
A. Gupta
A. Gurung
A. H. Bittles
A. H. Maslow
A. H. Stroud
A. Haldane
A. Hall
A. Harberger
A. Harrup
A. Harvey
A. Hoeffler
A. Hoes
A. Hortacsu
A. Hoye
A. Hudlet
A. Hunt
A. Hüttl
A. I. Barreca
A. I. Khwaja
A. I. Koshelev
A. Ilmanen
A. Imrohoroglu
A. Irem Tuna
A. Isen
A. J. Auerbach
A. J. Berinsky
A. J. Cetta
A. J. Harrison
A. J. Oswald
A. J. Patton
A. J. R. Russell-Wood
A. J. Sankoh
A. J. Schwartz
A. J. Senchack
A. J. Venables
A. J. Wilcox
A. Jacob Six
A. Jain
A. James Heins
A. Jansen
A. Jasra
A. Jeffrey
A. Jeppsson
A. Jobert
A. John Kearney
A. Jones
A. Jorge Padilla
A. Joseph Guse
A. Joseph Warburton
A. Joshua Strickland
A. K. Chan
A. K. Dixit
A. K. Kashyap
A. K. Khandelwal
A. K. Rose
A. Kalay
A. Kamara
A. Kashyap
A. Kaul
A. Kerem Cosar
A. Kerem Coşar
A. Kermani
A. Keswani
A. Kimball Romney
A. Kirsten Mullen
A. Klemm
A. Klos
A. Koch
A. Koticha
A. Koyano
A. Kraay
A. Kraft
A. Krishnamurthy
A. Kritikos
A. Krueger
A. Kukanov
A. Kumar
A. Kyle
A. L. Bowley
A. L. Eastman
A. L. Kroeber
A. L. Pope
A. L. Revenga
A. L. Wilkes
